numero_processo,classe,assunto,formato,data_ajuizamento,data_ultimo_movimento,ultima_atualizacao,nome_ultimo_movimento,codigo,orgao_julgador
15044273420248260451,Inquérito Policial,Poluição,Eletrônico,2024-06-05 07:40:12-03:00,2024-07-02 15:31:25-03:00,2024-07-19 22:52:10.414000-03:00,Expedição de documento,10065,01 CRIMINAL DE PIRACICABA
00047926520248260451,Carta Precatória Criminal,Adulteração de Sinal Identificador de Veículo Automotor,Eletrônico,2024-06-04 13:25:12-03:00,2024-06-07 11:52:58-03:00,2024-07-19 22:02:45.754000-03:00,Mandado,10065,01 CRIMINAL DE PIRACICABA
15009747220248260599,Ação Penal - Procedimento Ordinário,Tráfico de Drogas e Condutas Afins,Eletrônico,2024-06-04 13:06:02-03:00,2024-07-10 13:46:13-03:00,2024-07-19 09:03:42.307000-03:00,Expedição de documento,10065,01 CRIMINAL DE PIRACICABA
00004141020248260599,Comunicado de Mandado de Prisão,DIREITO PROCESSUAL PENAL,Eletrônico,2024-06-04 02:44:15-03:00,2024-06-14 13:40:13-03:00,2024-07-19 09:03:31.224000-03:00,Definitivo,10065,01 CRIMINAL DE PIRACICABA
15009738720248260599,Ação Penal - Procedimento Ordinário,Furto ,Eletrônico,2024-06-03 21:14:37-03:00,2024-07-12 07:48:05-03:00,2024-07-19 09:03:27.977000-03:00,Recebimento,10065,01 CRIMINAL DE PIRACICABA
15043996620248260451,Inquérito Policial,Crimes de Trânsito,Eletrônico,2024-06-02 17:32:28-03:00,2024-06-19 15:06:40-03:00,2024-07-20 00:20:36.145000-03:00,Expedição de documento,10065,01 CRIMINAL DE PIRACICABA
15009712020248260599,Ação Penal - Procedimento Ordinário,Roubo ,Eletrônico,2024-06-02 15:01:19-03:00,2024-07-13 03:36:03-03:00,2024-07-19 09:03:19.191000-03:00,Publicação,10065,01 CRIMINAL DE PIRACICABA
15009634320248260599,Procedimento Especial da Lei Antitóxicos,Tráfico de Drogas e Condutas Afins,Eletrônico,2024-06-01 02:45:38-03:00,2024-07-12 13:57:15-03:00,2024-07-19 09:03:09.993000-03:00,Conclusão,10065,01 CRIMINAL DE PIRACICABA
15009548120248260599,Procedimento Especial da Lei Antitóxicos,Tráfico de Drogas e Condutas Afins,Eletrônico,2024-05-30 14:34:07-03:00,2024-07-12 10:56:59-03:00,2024-07-19 09:02:30.692000-03:00,Expedição de documento,10065,01 CRIMINAL DE PIRACICABA
15043927420248260451,Inquérito Policial,Fato Atípico,Eletrônico,2024-05-29 13:53:56-03:00,2024-06-26 16:01:37-03:00,2024-07-19 22:18:28.023000-03:00,Expedição de documento,10065,01 CRIMINAL DE PIRACICABA
15009460720248260599,Auto de Prisão em Flagrante,Receptação Qualificada,Eletrônico,2024-05-29 09:34:23-03:00,2024-07-05 10:51:06-03:00,2024-07-20 02:27:20.308000-03:00,Documento,10065,01 CRIMINAL DE PIRACICABA
00004037820248260599,Comunicado de Mandado de Prisão,DIREITO PROCESSUAL PENAL,Eletrônico,2024-05-29 02:40:04-03:00,2024-06-14 13:06:42-03:00,2024-07-20 02:27:18.424000-03:00,Definitivo,10065,01 CRIMINAL DE PIRACICABA
15043789020248260451,Inquérito Policial,Falsificação do selo ou sinal público ,Eletrônico,2024-05-28 14:05:57-03:00,2024-06-25 08:42:01-03:00,2024-07-20 00:12:47.623000-03:00,Expedição de documento,10065,01 CRIMINAL DE PIRACICABA
00003977120248260599,Comunicado de Mandado de Prisão,DIREITO PROCESSUAL PENAL,Eletrônico,2024-05-26 02:12:59-03:00,2024-06-04 08:40:01-03:00,2024-07-20 02:26:44.507000-03:00,Definitivo,10065,01 CRIMINAL DE PIRACICABA
15009236120248260599,Ação Penal - Procedimento Ordinário,Furto Qualificado ,Eletrônico,2024-05-26 00:04:40-03:00,2024-07-04 13:50:52-03:00,2024-07-20 02:26:39.703000-03:00,Expedição de documento,10065,01 CRIMINAL DE PIRACICABA
15041606220248260451,Inquérito Policial,Crimes Previstos no Estatuto do Idoso,Eletrônico,2024-05-24 08:35:40-03:00,2024-06-25 07:50:26-03:00,2024-07-20 00:07:16.771000-03:00,Expedição de documento,10065,01 CRIMINAL DE PIRACICABA
15041441120248260451,Inquérito Policial,Receptação,Eletrônico,2024-05-24 04:46:56-03:00,2024-07-02 15:32:00-03:00,2024-07-20 01:44:02.640000-03:00,Expedição de documento,10065,01 CRIMINAL DE PIRACICABA
00003899420248260599,Comunicado de Mandado de Prisão,DIREITO PROCESSUAL PENAL,Eletrônico,2024-05-24 02:50:12-03:00,2024-06-04 07:52:36-03:00,2024-07-20 02:26:21.104000-03:00,Definitivo,10065,01 CRIMINAL DE PIRACICABA
15009175420248260599,Procedimento Especial da Lei Antitóxicos,Tráfico de Drogas e Condutas Afins,Eletrônico,2024-05-23 22:08:41-03:00,2024-07-05 23:27:57-03:00,2024-07-20 02:26:20.773000-03:00,Publicação,10065,01 CRIMINAL DE PIRACICABA
10111148420248260451,Carta Precatória Criminal,Citação,Eletrônico,2024-05-21 09:37:42-03:00,2024-06-26 12:18:45-03:00,2024-07-19 21:10:59.676000-03:00,Documento,10065,01 CRIMINAL DE PIRACICABA
15041103620248260451,Inquérito Policial,Crimes de Trânsito,Eletrônico,2024-05-20 12:52:35-03:00,2024-06-26 16:01:29-03:00,2024-07-19 22:11:04.005000-03:00,Expedição de documento,10065,01 CRIMINAL DE PIRACICABA
15041051420248260451,Inquérito Policial,Fato Atípico,Eletrônico,2024-05-20 10:18:10-03:00,2024-06-25 07:49:57-03:00,2024-07-19 23:53:48.527000-03:00,Expedição de documento,10065,01 CRIMINAL DE PIRACICABA
15040982220248260451,Inquérito Policial,Extorsão ,Eletrônico,2024-05-19 13:37:45-03:00,2024-05-29 09:03:20-03:00,2024-07-20 00:27:17.152000-03:00,Expedição de documento,10065,01 CRIMINAL DE PIRACICABA
00006151220248260628,Comunicado de Mandado de Prisão,DIREITO PROCESSUAL PENAL,Eletrônico,2024-05-19 05:32:40-03:00,2024-06-03 11:32:06-03:00,2024-07-20 03:37:24.201000-03:00,Expedição de documento,10065,01 CRIMINAL DE PIRACICABA
15009010320248260599,Procedimento Especial da Lei Antitóxicos,Tráfico de Drogas e Condutas Afins,Eletrônico,2024-05-18 22:50:56-03:00,2024-06-17 13:01:07-03:00,2024-07-20 02:59:57.841000-03:00,Expedição de documento,10065,01 CRIMINAL DE PIRACICABA
15008967820248260599,Ação Penal - Procedimento Ordinário,"Intolerância Racial, de Cor e/ou Etnia",Eletrônico,2024-05-18 14:36:52-03:00,2024-07-03 10:58:29-03:00,2024-07-20 02:59:57.416000-03:00,Expedição de documento,10065,01 CRIMINAL DE PIRACICABA
15008898620248260599,Procedimento Especial da Lei Antitóxicos,Tráfico de Drogas e Condutas Afins,Eletrônico,2024-05-17 22:35:46-03:00,2024-06-28 08:19:59-03:00,2024-07-20 02:59:55.009000-03:00,Mandado,10065,01 CRIMINAL DE PIRACICABA
15040948220248260451,Inquérito Policial,Estelionato,Eletrônico,2024-05-17 14:08:53-03:00,2024-06-26 16:01:21-03:00,2024-07-19 23:59:18.638000-03:00,Expedição de documento,10065,01 CRIMINAL DE PIRACICABA
15040653220248260451,Inquérito Policial,Estelionato,Eletrônico,2024-05-17 09:29:14-03:00,2024-06-06 10:01:21-03:00,2024-07-19 22:10:02.214000-03:00,Expedição de documento,10065,01 CRIMINAL DE PIRACICABA
15040540320248260451,Inquérito Policial,Crimes de Trânsito,Eletrônico,2024-05-16 19:02:32-03:00,2024-06-19 15:31:48-03:00,2024-07-19 21:27:44.344000-03:00,Expedição de documento,10065,01 CRIMINAL DE PIRACICABA
15040523320248260451,Inquérito Policial,Crimes de Abuso de Autoridade,Eletrônico,2024-05-16 18:07:17-03:00,2024-06-19 15:31:42-03:00,2024-07-19 21:27:43.140000-03:00,Expedição de documento,10065,01 CRIMINAL DE PIRACICABA
15040497820248260451,Inquérito Policial,Estelionato,Eletrônico,2024-05-16 13:48:03-03:00,2024-05-23 14:10:41-03:00,2024-07-20 02:20:07.741000-03:00,Expedição de documento,10065,01 CRIMINAL DE PIRACICABA
15040401920248260451,Inquérito Policial,Estelionato,Eletrônico,2024-05-16 12:02:40-03:00,2024-05-23 14:10:56-03:00,2024-07-19 22:14:08.206000-03:00,Expedição de documento,10065,01 CRIMINAL DE PIRACICABA
10107164020248260451,Carta Precatória Criminal,Intimação,Eletrônico,2024-05-16 09:46:14-03:00,2024-06-21 11:31:11-03:00,2024-07-19 22:55:04.717000-03:00,Documento,10065,01 CRIMINAL DE PIRACICABA
15008785720248260599,Procedimento Especial da Lei Antitóxicos,Tráfico de Drogas e Condutas Afins,Eletrônico,2024-05-15 23:44:44-03:00,2024-07-02 20:44:03-03:00,2024-07-20 02:59:41.625000-03:00,Publicação,10065,01 CRIMINAL DE PIRACICABA
00041075820248260451,Restituição de Coisas Apreendidas,Restituição de Coisas Apreendidas,Eletrônico,2024-05-15 08:45:18-03:00,2024-06-04 13:19:39-03:00,2024-07-19 21:53:10.482000-03:00,Remessa,10065,01 CRIMINAL DE PIRACICABA
00040677620248260451,Insanidade Mental do Acusado,Dano,Eletrônico,2024-05-15 06:56:40-03:00,2024-06-21 09:24:48-03:00,2024-07-19 21:47:00.297000-03:00,Mero expediente,10065,01 CRIMINAL DE PIRACICABA
15039743920248260451,Inquérito Policial,Dano,Eletrônico,2024-05-14 08:26:59-03:00,2024-06-24 15:26:54-03:00,2024-07-19 22:33:16.240000-03:00,Expedição de documento,10065,01 CRIMINAL DE PIRACICABA
15019274020248260533,Ação Penal - Procedimento Ordinário,Furto Qualificado ,Eletrônico,2024-05-13 19:23:31-03:00,2024-07-02 06:15:29-03:00,2024-07-20 02:56:32.592000-03:00,Documento,10065,01 CRIMINAL DE PIRACICABA
15039484120248260451,Inquérito Policial,Apropriação indébita,Eletrônico,2024-05-13 17:58:31-03:00,2024-06-19 15:31:36-03:00,2024-07-19 22:14:11.668000-03:00,Expedição de documento,10065,01 CRIMINAL DE PIRACICABA
15039475620248260451,Inquérito Policial,Estelionato,Eletrônico,2024-05-13 17:36:54-03:00,2024-06-19 15:31:30-03:00,2024-07-19 22:14:04.423000-03:00,Expedição de documento,10065,01 CRIMINAL DE PIRACICABA
15039042220248260451,Inquérito Policial,Crimes de Trânsito,Eletrônico,2024-05-10 13:07:41-03:00,2024-05-23 13:34:16-03:00,2024-07-19 21:28:55.238000-03:00,Expedição de documento,10065,01 CRIMINAL DE PIRACICABA
15039016720248260451,Inquérito Policial,Tráfico de Drogas e Condutas Afins,Eletrônico,2024-05-10 12:41:53-03:00,2024-05-23 13:40:57-03:00,2024-07-19 22:52:18.347000-03:00,Expedição de documento,10065,01 CRIMINAL DE PIRACICABA
15039008220248260451,Inquérito Policial,Estelionato,Eletrônico,2024-05-10 12:40:09-03:00,2024-05-23 13:33:13-03:00,2024-07-19 22:52:16.784000-03:00,Expedição de documento,10065,01 CRIMINAL DE PIRACICABA
15038851620248260451,Inquérito Policial,Crimes contra a Flora,Eletrônico,2024-05-10 09:16:23-03:00,2024-06-14 12:26:57-03:00,2024-07-19 23:27:47.827000-03:00,Definitivo,10065,01 CRIMINAL DE PIRACICABA
15038843120248260451,Inquérito Policial,Crimes contra a Ordem Tributária,Eletrônico,2024-05-10 09:13:44-03:00,2024-05-17 08:42:25-03:00,2024-07-19 23:27:46.131000-03:00,Expedição de documento,10065,01 CRIMINAL DE PIRACICABA
15038644020248260451,Inquérito Policial,Crimes de Trânsito,Eletrônico,2024-05-09 09:47:44-03:00,2024-05-09 09:52:00-03:00,2024-07-20 01:28:34.622000-03:00,Petição,10065,01 CRIMINAL DE PIRACICABA
15038574820248260451,Inquérito Policial,Homicídio Simples,Eletrônico,2024-05-08 20:41:47-03:00,2024-06-19 15:31:24-03:00,2024-07-19 22:08:14.834000-03:00,Expedição de documento,10065,01 CRIMINAL DE PIRACICABA
15038566320248260451,Inquérito Policial,"Induzimento, Instigação ou Auxílio a Suicídio",Eletrônico,2024-05-08 20:30:21-03:00,2024-06-19 15:06:14-03:00,2024-07-19 22:08:14.112000-03:00,Expedição de documento,10065,01 CRIMINAL DE PIRACICABA
15174152920248260050,Inquérito Policial,Estelionato,Eletrônico,2024-05-08 09:33:56-03:00,2024-07-10 15:49:41-03:00,2024-07-19 14:19:24.847000-03:00,Expedição de documento,10065,01 CRIMINAL DE PIRACICABA
15038306520248260451,Inquérito Policial,Furto ,Eletrônico,2024-05-07 08:16:38-03:00,2024-05-17 08:42:18-03:00,2024-07-19 23:48:38.833000-03:00,Expedição de documento,10065,01 CRIMINAL DE PIRACICABA
15038271320248260451,Inquérito Policial,Furto ,Eletrônico,2024-05-07 07:10:19-03:00,2024-05-17 08:41:13-03:00,2024-07-19 23:48:36.926000-03:00,Expedição de documento,10065,01 CRIMINAL DE PIRACICABA
00036563320248260451,Inquérito Policial,Falsidade ideológica ,Físico,2024-05-03 13:34:57-03:00,2024-06-21 07:25:40-03:00,2024-07-19 23:40:39.390000-03:00,Remessa,10065,01 CRIMINAL DE PIRACICABA
00037152120248260451,Restituição de Coisas Apreendidas,Tráfico de Drogas e Condutas Afins,Eletrônico,2024-05-03 12:07:52-03:00,2024-05-09 08:36:03-03:00,2024-07-19 23:48:28.823000-03:00,Definitivo,10065,01 CRIMINAL DE PIRACICABA
10095134320248260451,Carta Precatória Criminal,Intimação,Eletrônico,2024-05-02 11:56:39-03:00,2024-06-06 08:06:31-03:00,2024-07-19 21:28:12.452000-03:00,Remessa,10065,01 CRIMINAL DE PIRACICABA
15037613320248260451,Inquérito Policial,Furto ,Eletrônico,2024-05-02 11:32:27-03:00,2024-06-06 10:28:19-03:00,2024-07-19 21:14:36.419000-03:00,Expedição de documento,10065,01 CRIMINAL DE PIRACICABA
15037535620248260451,Inquérito Policial,Fraude à execução ,Eletrônico,2024-05-02 07:29:50-03:00,2024-05-06 07:45:46-03:00,2024-07-19 21:38:37.204000-03:00,Petição,10065,01 CRIMINAL DE PIRACICABA
10094268720248260451,Carta Precatória Criminal,Intimação,Eletrônico,2024-04-30 16:37:35-03:00,2024-06-05 11:15:35-03:00,2024-07-20 00:33:38.195000-03:00,Expedição de documento,10065,01 CRIMINAL DE PIRACICABA
15037189620248260451,Inquérito Policial,Estelionato,Eletrônico,2024-04-29 14:52:38-03:00,2024-04-29 14:52:58-03:00,2024-07-20 03:29:19.703000-03:00,Distribuição,10065,01 CRIMINAL DE PIRACICABA
00035637020248260451,Restituição de Coisas Apreendidas,Receptação,Eletrônico,2024-04-29 07:57:44-03:00,2024-05-06 09:35:51-03:00,2024-07-19 21:38:37.014000-03:00,Definitivo,10065,01 CRIMINAL DE PIRACICABA
15007841220248260599,Procedimento Especial da Lei Antitóxicos,Tráfico de Drogas e Condutas Afins,Eletrônico,2024-04-28 14:28:45-03:00,2024-07-05 10:03:50-03:00,2024-07-20 04:52:01.627000-03:00,Mandado,10065,01 CRIMINAL DE PIRACICABA
15007780520248260599,Ação Penal - Procedimento Ordinário,Roubo ,Eletrônico,2024-04-27 14:02:58-03:00,2024-07-04 12:39:07-03:00,2024-07-20 04:51:25.010000-03:00,Documento,10065,01 CRIMINAL DE PIRACICABA
00003171020248260599,Comunicado de Mandado de Prisão,DIREITO PROCESSUAL PENAL,Eletrônico,2024-04-27 04:23:39-03:00,2024-05-10 08:31:26-03:00,2024-07-20 04:51:13.710000-03:00,Definitivo,10065,01 CRIMINAL DE PIRACICABA
15007746520248260599,Procedimento Especial da Lei Antitóxicos,Tráfico de Drogas e Condutas Afins,Eletrônico,2024-04-26 18:22:56-03:00,2024-06-28 07:51:00-03:00,2024-07-20 04:51:12.907000-03:00,Mandado,10065,01 CRIMINAL DE PIRACICABA
10091704720248260451,"Crimes de Calúnia, Injúria e Difamação de Competência do Juiz Singular",Injúria,Eletrônico,2024-04-26 13:40:37-03:00,2024-07-04 12:24:57-03:00,2024-07-20 01:48:57.030000-03:00,Definitivo,10065,01 CRIMINAL DE PIRACICABA
15036816920248260451,Inquérito Policial,Estelionato,Eletrônico,2024-04-26 05:42:07-03:00,2024-06-11 08:58:47-03:00,2024-07-19 21:32:33.946000-03:00,Expedição de documento,10065,01 CRIMINAL DE PIRACICABA
15036773220248260451,Inquérito Policial,Crimes de Trânsito,Eletrônico,2024-04-26 04:53:18-03:00,2024-06-06 10:01:56-03:00,2024-07-19 21:32:05.991000-03:00,Expedição de documento,10065,01 CRIMINAL DE PIRACICABA
15036721020248260451,Ação Penal - Procedimento Ordinário,Adulteração de Sinal Identificador de Veículo Automotor,Eletrônico,2024-04-25 14:03:48-03:00,2024-07-02 13:30:23-03:00,2024-07-19 21:19:12.305000-03:00,Conclusão,10065,01 CRIMINAL DE PIRACICABA
15036660320248260451,Inquérito Policial,Crimes de Trânsito,Eletrônico,2024-04-24 18:54:46-03:00,2024-06-03 15:28:33-03:00,2024-07-19 23:15:04.218000-03:00,Expedição de documento,10065,01 CRIMINAL DE PIRACICABA
15007599620248260599,Ação Penal - Procedimento Ordinário,Receptação,Eletrônico,2024-04-24 13:27:14-03:00,2024-06-07 13:50:09-03:00,2024-07-20 04:50:33.330000-03:00,Expedição de documento,10065,01 CRIMINAL DE PIRACICABA
15007581420248260599,Ação Penal - Procedimento Ordinário,Furto ,Eletrônico,2024-04-24 13:20:35-03:00,2024-06-18 13:07:49-03:00,2024-07-20 04:50:29.881000-03:00,Documento,10065,01 CRIMINAL DE PIRACICABA
10088474220248260451,Carta Precatória Criminal,Intimação,Eletrônico,2024-04-23 15:09:44-03:00,2024-05-16 07:49:12-03:00,2024-07-19 23:51:49.441000-03:00,Remessa,10065,01 CRIMINAL DE PIRACICABA
15007564420248260599,Procedimento Especial da Lei Antitóxicos,Tráfico de Drogas e Condutas Afins,Eletrônico,2024-04-23 14:36:49-03:00,2024-06-28 08:17:47-03:00,2024-07-20 04:49:58.272000-03:00,Mandado,10065,01 CRIMINAL DE PIRACICABA
15007503720248260599,Procedimento Especial da Lei Antitóxicos,Tráfico de Drogas e Condutas Afins,Eletrônico,2024-04-22 23:38:31-03:00,2024-06-18 08:20:43-03:00,2024-07-20 04:49:30.219000-03:00,Mandado,10065,01 CRIMINAL DE PIRACICABA
00032691820248260451,Comunicado de Mandado de Prisão,DIREITO PROCESSUAL PENAL,Eletrônico,2024-04-22 10:19:40-03:00,2024-05-03 12:03:56-03:00,2024-07-19 21:36:29.998000-03:00,Definitivo,10065,01 CRIMINAL DE PIRACICABA
